filename;violations
Report_AWS-Migration-Hub-Config.md;13
Report_AWS-Migration-Hub.md;73
Report_AWS-Mobile.md;17
Report_AWS-Network-Firewall.md;157
Report_AWS-Network-Manager.md;44
Report_AWS-OpsWorks-CM.md;101
Report_AWS-Organizati.md;225
Report_AWS-Outpost.md;17
Report_AWS-Performance-Insight.md;15
Report_AWS-Price-List-Service.md;14
Report_AWS-Prot.md;222
Report_AWS-RDS-DataService.md;17
Report_AWS-Resource-Access-Manager.md;71
Report_AWS-Resource-Group.md;30
Report_AWS-Resource-Groups-Tagging-API.md;41
Report_AWS-RoboMaker.md;215
Report_AWS-Route53-Recovery-Control-Config.md;40
Report_AWS-Route53-Recovery-Readine.md;59
Report_AWS-S3-Control.md;213
Report_AWS-Savings-Pla.md;31
Report_AWS-Secrets-Manager.md;92
Report_AWS-Security-Token-Service.md;52
Report_AWS-SecurityHub.md;99
Report_AWS-Server-Migration-Service.md;187
Report_AWS-Service-Catalog-App-Registry.md;27
Report_AWS-Shield.md;180
Report_AWS-Signer.md;34
Report_AWS-Single-Sign-O.md;17
Report_AWS-Single-Sign-On-Admi.md;137
Report_AWS-Snow-Device-Management.md;26
Report_AWS-SSO-Identity-Store.md;17
Report_AWS-SSO-OIDC.md;5
Report_AWS-Step-Functi.md;95
Report_AWS-Support.md;70
Report_AWS-Systems-Manager-Incident-Manager-Contact.md;124
Report_AWS-Systems-Manager-Incident-Manager.md;130
Report_AWS-Transfer-Family.md;152
Report_AWS-WAFV2.md;248
Report_AWS-Well-Architected-Tool.md;60
Report_AWS-X-Ray.md;103
Report_AWSKendraFrontendService.md;210
Report_AWSMarketplace-Metering.md;16
Report_AWSServerlessApplicationRepository.md;20
Report_Axesso-Api.md;15
Report_Azure-Action-Group.md;22
Report_Azure-Activity-Log-Alert.md;17
Report_Azure-Addons-Resource-Provider.md;10
Report_Azure-Addons-Resource-Provider5.md;13
Report_Azure-Alerts-Management-Service-Resource-Provider.md;37
Report_Azure-Alerts-Management-Service-Resource-Provider6.md;17
Report_Azure-Bot-Service.md;49
Report_Azure-CDN-WebApplicationFirewallManagement.md;14
Report_Azure-Data-Catalog-Resource-Provider.md;10
Report_Azure-Data-Lake-Storage.md;15
Report_Azure-Data-Migration-Service-Resource-Provider.md;77
Report_Azure-Dedicated-HSM-Resource-Provider.md;15
Report_Azure-DevOp.md;24
Report_Azure-Enterprise-Knowledge-Graph-Service.md;13
Report_Azure-IoT-Central.md;24
Report_Azure-Location-Based-Services-Resource-Provider.md;36
Report_Azure-Log-Analytic.md;14
Report_Azure-Log-Analytics---Operations-Management.md;36
Report_Azure-Log-Analytics-Query-Pack.md;14
Report_Azure-Log-Analytics-Query-Packs41.md;17
Report_Azure-Log-Analytics263.md;11
Report_Azure-Log-Analytics264.md;4
Report_Azure-Machine-Learning-Datastore-Management-Client.md;29
Report_Azure-Machine-Learning-Model-Management-Service.md;86
Report_Azure-Machine-Learning-Workspace.md;77
Report_Azure-Maps-Resource-Provider.md;39
Report_Azure-Media-Service.md;7
Report_Azure-Media-Services188.md;21
Report_Azure-Media-Services189.md;15
Report_Azure-Media-Services190.md;26
Report_Azure-Media-Services191.md;14
Report_Azure-Media-Services192.md;16
Report_Azure-Media-Services193.md;19
Report_Azure-Media-Services194.md;24
Report_Azure-Media-Services195.md;49
Report_Azure-Metric.md;1
Report_Azure-Migrate-Hub.md;60
Report_Azure-Migrate-V2.md;83
Report_Azure-ML-Commitment-Plans-Management-Client.md;25
Report_Azure-ML-Web-Services-Management-Client.md;22
Report_Azure-Monitor-Private-Link-Scope.md;50
Report_Azure-Reservati.md;42
Report_Azure-Reservation278.md;20
Report_Azure-Resource-Graph-Query.md;11
Report_Azure-Resource-Graph.md;9
Report_Azure-SQL-Database-API-spec.md;4
Report_Azure-SQL-Database-Backup-Long-Term-Retention-Policy.md;7
Report_Azure-SQL-Database-Backup.md;12
Report_Azure-SQL-Database-Datamasking-Policies-and-Rule.md;6
Report_Azure-SQL-Database-disaster-recovery-configurati.md;25
Report_Azure-SQL-Database-ImportExport-spec.md;11
Report_Azure-SQL-Database-replication-link.md;22
Report_Azure-SQL-Database.md;5
Report_Azure-SQL-Database346.md;11
Report_Azure-SQL-Database351.md;6
Report_Azure-SQL-Database364.md;12
Report_Azure-SQL-Database366.md;11
Report_Azure-SQL-Database367.md;8
Report_Azure-SQL-Database368.md;8
Report_Azure-SQL-Database375.md;9
Report_Azure-SQL-Database381.md;6
Report_Azure-SQL-Database383.md;25
Report_Azure-SQL-Server-API-spec.md;2
Report_Azure-SQL-Server-Backup-Long-Term-Retention-Vault.md;7
Report_Azure-Stack-Azure-Bridge-Client.md;4
Report_Azure-Stack-Azure-Bridge-Client156.md;16
Report_azureactivedirectory.md;23
Report_AzureAnalysisService.md;60
Report_AzureBridgeAdminClient.md;10
Report_AzureBridgeAdminClient123.md;9
Report_AzureBridgeAdminClient89.md;4
Report_AzureBridgeAdminClient99.md;11
Report_AzureDataManagementClient.md;29
Report_AzureDeploymentManager.md;67
Report_AzureDigitalTwinsManagementClient.md;44
Report_AzureStack-Azure-Bridge-Client.md;11
Report_AzureStack-Azure-Bridge-Client155.md;29
Report_Background-Removal-API.md;4
Report_Backup-for-GKE-API.md;58
Report_BackupManagementClient.md;4
Report_BackupManagementClient90.md;14
Report_BackupManagementClient91.md;8
Report_Bajaj-Allianz-General-Insurance-Company-Ltd.-(BAGIC).md;14
Report_Bajaj-Allianz-Life-Insurance-Company-Ltd.md;2
Report_Balance-Platform-Transfers-API.md;0
Report_Bandsintown-API.md;0
Report_Barcode-API.md;7
Report_Bare-Metal-Solution-API.md;97
Report_Batch-API.md;42
Report_BatchAI.md;89
Report_BatchManagement.md;98
Report_BatchService.md;159
Report_BatchService459.md;92
Report_BBC-iPlayer-Business-Layer.md;13
Report_BBC-Nitro-API.md;50
Report_BC-Data-Catalogue-API.md;110
Report_BC-Geographical-Names-Web-Service---REST-API.md;57
Report_BC-Gov-News-API-Service-1.0.md;69
Report_BC-Law.md;22
Report_BC-Route-Planner-REST-API.md;119
Report_Beanstream-Payment.md;4
Report_BeezUP-Merchant-API.md;794
Report_Benefits-Intake.md;3
Report_Betriebsstelle.md;3
Report_Bets-API.md;9
Report_BeyondCorp-API.md;72
Report_Bhagavad-Gita-API.md;34
Report_Bharti-AXA-General-Insurance-Company-Ltd.md;10
