title;x-apisguru-categories;openapiVer;swaggerUrl
FabricAdminClient3;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-EdgeGateway/2016-05-01/swagger.json
FabricAdminClient4;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-EdgeGatewayPool/2016-05-01/swagger.json
FabricAdminClient5;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Fabric/2016-05-01/swagger.json
FabricAdminClient6;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-FabricLocation/2016-05-01/swagger.json
FabricAdminClient7;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-FileShare/2016-05-01/swagger.json
FabricAdminClient8;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-InfraRole/2016-05-01/swagger.json
FabricAdminClient9;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-InfraRoleInstance/2016-05-01/swagger.json
FabricAdminClient10;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-IpPool/2016-05-01/swagger.json
FabricAdminClient11;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-LogicalNetwork/2016-05-01/swagger.json
FabricAdminClient12;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-LogicalSubnet/2016-05-01/swagger.json
FabricAdminClient13;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-MacAddressPool/2016-05-01/swagger.json
FabricAdminClient14;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-NetworkOperationResults/2016-05-01/swagger.json
FabricAdminClient15;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Operations/2016-05-01/swagger.json
FabricAdminClient16;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-ScaleUnit/2016-05-01/swagger.json
FabricAdminClient17;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-ScaleUnitNode/2016-05-01/swagger.json
FabricAdminClient18;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-SlbMuxInstance/2016-05-01/swagger.json
FabricAdminClient19;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-StorageOperationResults/2016-05-01/swagger.json
FabricAdminClient20;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-StoragePool/2016-05-01/swagger.json
FabricAdminClient21;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-StorageSubSystem/2018-10-01/swagger.json
FabricAdminClient22;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-StorageSystem/2016-05-01/swagger.json
FabricAdminClient23;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Volume/2019-05-01/swagger.json
SubscriptionsManagementClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-AcquiredPlan/2015-11-01/swagger.json
SubscriptionsManagementClient1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-DelegatedProvider/2015-11-01/swagger.json
SubscriptionsManagementClient2;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-DelegatedProviderOffer/2015-11-01/swagger.json
SubscriptionsManagementClient3;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-DirectoryTenant/2015-11-01/swagger.json
SubscriptionsManagementClient4;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Location/2015-11-01/swagger.json
SubscriptionsManagementClient5;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Manifest/2015-11-01/swagger.json
SubscriptionsManagementClient6;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-OfferDelegation/2015-11-01/swagger.json
SubscriptionsManagementClient7;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Plan/2015-11-01/swagger.json
SubscriptionsManagementClient8;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Quota/2015-11-01/swagger.json
ComputeDiskAdminManagementClient;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-DiskMigrationJobs/2018-07-30-preview/swagger.json
ComputeDiskAdminManagementCli1;['cloud'];2.0;https://api.apis.guru/v2/specs/azure.com/azsadmin-Disks/2018-07-30-preview/swagger.json
